bagnisko
bagno
błoto
bór
bród
bruzda
brzeg
brzezina
ciek
dąbrowa
dębina
debrz
dolina
dopływ
dorzecze
droga
dróżka
drożysko
dukt
gaik
gaj
góra
górka
góry
gościniec
grąd
granica
grobla
grzbiet
jama
jeziorko
jezioro
kanał
kępa
klin
kopanina
kopiec
koryto
krzak
krzew
kurhan
łączka
łąka
las
las
lasek
łęg
łowisko
łożysko
mokradło
nacios
narożnica
narożnik
nasyp
nurt
odnoga
olszyna
ostrów
ostrówek
pagórek
pasieka
podnóże
pogranicze
pokos
poręba
potoczek
potok
przebieg
przegroda
przekop
przekopa
przepływ
przeprawa
przesieka
przybór
przygródek
przykopa
przymiarek
przystań
pustkowie
puszcza
róg
równina
rozlewisko
rybnik
rzeczka
rzeczysko
rzeka
sad
sadzawka
ściana
ścieżka
ścieżka
skraj
skrzyżowanie
smug
spiętrzenie
starorzecze
staw
stawek
stok
struga
struga
strumień
strumyk
szczyt
szlak
tama
trakt
ujście
upust
uroczysko
wąwóz
węgieł
węgielnica
wierzch
wierzchołek
wierzchowina
wierzchowisko
woda
wyspa
wzgórze
wzniesienie
zagajnik
zakole
zapusta
zarośle
zbiornik
zbocze
znak
zrąb
źreb
