Achacy
Bohumin
Boksa
Czarnocki
Dzierżek
Fołtyn
Goworek
Idzi
Jakusz
Jołda
Kachna
Kasper
Kordula
Korczak
Krzesław
Krzesława
Krzesza
Kumor
Łysapałka
Machna
Muskat
Pakosz
Ota
Paszek
Pęcław
Prandota
Przybek
Rechyza
Ścibor
Świętosław
Świętochny
Świętochnie
Święszek
Święch
Serafin
Skarbek
Stachna
Stachną
Stachnio
Strasz
Tasz
Trala
Trzel
Wassko
Więcesław
Zaklika
Zdziech
Żegota
