QID,Miejscowosc,Description,Latitude,Longitude
"Q147798","Pretoria","miejscowość (Południowa Afryka) [25°45'00' S, 28°11'30' E]",-25.75,28.191666666666666
"Q147796","Dżos","miejscowość (Nigeria) [9°55'30' N, 8°53'30' E]",9.925,8.891666666666667
"Q147797","Kapsztad","miejscowość (Południowa Afryka) [33°55'30' S, 18°25'30' E]",-33.925,18.425
"Q147802","Victoria","miejscowość (Seszele) [4°37'20' S, 55°27'00' E]",-4.622222222222222,55.45
"Q147803","Berbera","miejscowość (Somalia) [10°26'30' N, 45°00'40' E]",10.441666666666666,45.01111111111111
"Q147806","Mogadiszu","miejscowość (Somalia) [2°02'30' N, 45°20'00' E]",2.0416666666666665,45.333333333333336
"Q147804","Hargejsa","miejscowość (Somalia) [9°34'00' N, 44°03'30' E]",9.566666666666666,44.05833333333333
"Q147805","Kismaju","miejscowość (Somalia) [0°21'40' S, 42°32'50' E]",-0.3611111111111111,42.547222222222224
"Q147810","Omdurman","miejscowość (Sudan) [15°38'45' N, 32°29'00' E]",15.645833333333334,32.483333333333334
"Q147808","Chartum Północny","miejscowość (Sudan) [15°37'30' N, 32°32'00' E]",15.625,32.53333333333333
"Q147809","Dongola","miejscowość (Sudan) [19°10'20' N, 30°28'30' E]",19.17222222222222,30.475
"Q147811","Port Sudan","miejscowość (Sudan) [19°37'00' N, 37°13'00' E]",19.616666666666667,37.21666666666667
"Q147815","Hammamet","miejscowość (Tunezja) [36°24'00' N, 10°37'00' E]",36.4,10.616666666666667
"Q147812","Dżuba","miejscowość (Sudan Południowy) [4°50'20' N, 31°36'00' E]",4.838888888888889,31.6
"Q147818","Kartagina","miejscowość (Tunezja) [36°51'10' N, 10°19'50' E]",36.852777777777774,10.330555555555556
"Q147826","Port-au-Prince","miejscowość (Haiti) [18°32'30' N, 72°20'10' W]",18.541666666666668,-72.33611111111111
"Q147827","Montreal","miejscowość (Kanada) [45°30'00' N, 73°34'00' W]",45.5,-73.56666666666666
"Q147834","Nowy Orlean","miejscowość (Stany Zjednoczone) [29°58'00' N, 90°04'00' W]",29.966666666666665,-90.06666666666666
"Q147832","Filadelfia","miejscowość (Stany Zjednoczone) [39°57'00' N, 75°10'00' W]",39.95,-75.16666666666667
"Q147839","Bogota","miejscowość (Kolumbia) [4°36'00' N, 74°04'30' W]",4.6,-74.075
"Q147837","Kurytyba","miejscowość (Brazylia) [25°26'00' S, 49°16'30' W]",-25.433333333333334,-49.275
"Q147842","Suva","miejscowość (Fidżi) [18°08'20' S, 178°25'30' E]",-18.13888888888889,178.425
"Q147841","Adelaide","miejscowość (Australia) [34°55'00' S, 138°36'00' E]",-34.916666666666664,138.6
"Q147841","Adelajda","miejscowość (Australia) [34°55'00' S, 138°36'00' E]",-34.916666666666664,138.6
"Q147846","Port Moresby","miejscowość (Papua-Nowa Gwinea) [9°28'40' S, 147°09'00' E]",-9.477777777777778,147.15
"Q147847","Port Vila","miejscowość (Vanuatu) [17°44'00' S, 168°19'00' E]",-17.733333333333334,168.31666666666666
"Q147850","Majuro","miejscowość (Wyspy Marshalla) [7°05'30' N, 171°22'50' E]",7.091666666666667,171.38055555555556
"Q148226","Nowy Fez","część miejscowości, osiedla ludzkiego (Maroko [34°03'20' N, 4°59'20' W])",34.05555555555556,-4.988888888888889
"Q148227","Stary Fez","część miejscowości, osiedla ludzkiego (Maroko [34°03'50' N, 4°58'30' W])",34.06388888888889,-4.975
"Q148228","Kamienne Miasto","część miejscowości, osiedla ludzkiego (Tanzania [6°09'45' S, 39°11'25' E])",-6.1625,39.19027777777778
"Q146330","Obrowo","miejscowość (Białoruś) obwód brzeski [52°30'30' N, 25°33'50' E]",52.50833333333333,25.56388888888889
"Q146350","Piaski","miejscowość (Białoruś) obwód brzeski [52°11'20' N, 24°14'20' E]",52.18888888888889,24.238888888888887
"Q146351","Piaski","miejscowość (Białoruś) obwód brzeski [52°29'50' N, 25°11'30' E]",52.49722222222222,25.191666666666666
"Q146343","Ostrów","miejscowość (Białoruś) obwód brzeski [52°53'20' N, 25°58'40' E]",52.888888888888886,25.977777777777778
"Q146328","Nowy Dwór","miejscowość (Białoruś) obwód brzeski [52°18'30' N, 26°14'40' E]",52.30833333333333,26.244444444444444
"Q147876","Rzeczyca","część miejscowości, osiedla ludzkiego (Białoruś [52°06'10' N, 23°38'50' E])",52.102777777777774,23.647222222222222
"Q147882","Zarzecze","część miejscowości, osiedla ludzkiego (Białoruś [53°53'10' N, 25°19'00' E])",53.88611111111111,25.316666666666666
"Q147877","Strugi","część miejscowości, osiedla ludzkiego (Białoruś [53°54'50' N, 25°17'10' E])",53.91388888888889,25.28611111111111
"Q147853","Brzozówka","część miejscowości, osiedla ludzkiego (Białoruś [52°07'00' N, 23°44'00' E])",52.11666666666667,23.733333333333334
"Q147856","Folusz","część miejscowości, osiedla ludzkiego (Białoruś [53°39'30' N, 23°47'00' E])",53.65833333333333,23.783333333333335
"Q147860","Kiełbasin","część miejscowości, osiedla ludzkiego (Białoruś [53°38'40' N, 23°47'20' E])",53.644444444444446,23.788888888888888
"Q146499","Korcza","miejscowość (Albania) [40°37'00' N, 20°46'50' E]",40.61666666666667,20.780555555555555
"Q146311","Mielniki","miejscowość (Białoruś) obwód brzeski [51°44'20' N, 24°07'50' E]",51.73888888888889,24.130555555555556
"Q146310","Miedna","miejscowość (Białoruś) obwód brzeski [51°51'45' N, 23°44'40' E]",51.8625,23.744444444444444
"Q146314","Mogilica","miejscowość (Białoruś) obwód brzeski [52°46'40' N, 25°35'40' E]",52.77777777777778,25.594444444444445
"Q146324","Niedźwiedzica","miejscowość (Białoruś) obwód brzeski [52°56'15' N, 26°18'10' E]",52.9375,26.302777777777777
"Q146326","Nowosiółki","miejscowość (Białoruś) obwód brzeski [52°15'30' N, 23°13'30' E]",52.25833333333333,23.225
"Q146327","Nowosiółki","miejscowość (Białoruś) obwód brzeski [52°01'30' N, 24°21'20' E]",52.025,24.355555555555554
"Q146334","Olszany","miejscowość (Białoruś) obwód brzeski [52°04'30' N, 27°20'50' E]",52.075,27.34722222222222
"Q146338","Orzechowo","miejscowość (Białoruś) obwód brzeski [51°38'20' N, 23°57'10' E]",51.638888888888886,23.95277777777778
"Q146339","Osowce","miejscowość (Białoruś) obwód brzeski [52°05'00' N, 25°14'50' E]",52.083333333333336,25.247222222222224
"Q146354","Pińsk","miejscowość (Białoruś) obwód brzeski [52°07'00' N, 26°06'00' E]",52.11666666666667,26.1
"Q146358","Podłuże","miejscowość (Białoruś) obwód brzeski [51°43'10' N, 23°34'00' E]",51.71944444444444,23.566666666666666
